transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,mortgage,reward,cost,premium
0xd6afb655886fde24aaf10ad961bf668f00867c0cd01b97269aa08597de24aaa2,13081314,1629718601,0,35903649842678079,3410225349000000,true,61597742306113966436,61000000000000000000,54900000000000000
0x5d191963282d33420fc6dd6ed88d3bcebafabaeaac973aa798716594d4564364,13081486,1629721045,0,31565897315371224,27377494728000000,true,64473877920936433461,63000000000000000000,56700000000000000
0x5439c1210b4f9c6473ed62620308c6574f12d31b9a6d4e8c6848ec587a8757be,13622581,1637010481,0,60095934004558706,100000000000000000,true,82447136714892224444,80000000000000000000,none
0xf4773c33d08f5134cbb4dae31805d69f71ae9445fdb793e2b16be7af63ec3f6d,13869158,1640365614,0,29826162090120700,100000000000000000,true,65191280446939013530,64990000000000000000,none
0x6bd32134c2683c9b612be91915fc22611995d7ed50b74edeca5cb42270657224,13232379,1631736595,0,82465145939872800,40137048200000000,true,80726802472800694545,77500000000000000000,69750000000000000
0x954202d792f7a82dd06d0197dbb30a494fde1ba5f0f7231a4ed6298a68d4c190,13083420,1629746621,0,85232304338476419,64208427889000000,true,61524957028792119083,60000000000000000000,54000000000000000
0xb76be96b070f062529071011e2480320dce2071406d3b14083289152b5b9c588,13882771,1640547897,0,20505020093085990,100000000000000000,true,69071583960025884981,68450000000000000000,none
0x97d7d7a881358fe3a28a143bc8512dbab3ab44ee4be3808718a03625c6ab21e3,14290400,1645993689,0,26196327426479490,100000000000000000,true,70737011136606650353,61950000000000000000,none
0x230b6cc3088e620d362d48cdd8c1a8e76b7a9f5f32e49cbf653559d35f3dc323,14290401,1645993715,0,29392309361047806,100000000000000000,true,65115190091548713662,64880000000000000000,none
