transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,mortgage,reward,cost,premium
0xd8576879a0a876ebda6b9425861239a7235258bfcb578ff6f5633c088db7f551,13049945,1629299282,7,35289953210622258,0,true,1115893399110278477,990000000000000000,none
0x06065463ec462052f06426b4369e3e0a7ac7106885394b7087ca2b0a7696291f,13036693,1629122683,1,47520291829068870,0,true,1611286934979265556,1500000000000000000,none
0x701dae34f96f9cb550dcc62a1d1f9e98c2f2c487134434c0494bee5591d0aa16,13036815,1629124210,3,40452594307293528,0,true,1520547056277091114,1400000000000000000,none
0x919da7078d0f08d4f188de3b7a263231f8469e8f0765557191459bcd62802a8a,13936635,1641268006,0,108066995704129600,0,true,883422796850703481,694200000000000000,none
0x15cdad0c6cd229de18b3731b4d7f9a0a706389f000e3426e5fe3c1df974b8842,13192616,1631205176,0,84877227139447203,0,true,4409392887124534868,4100000000000000000,none
0x8ec3f65ac51c5a186c3330fc0c93fdab7bc145752fed06e225117b814f7f3bb9,13117329,1630199212,4,132808024967211088,0,true,5087584903795046182,4400000000000000000,none
0x98aa0f53422428f1abeb5c12126684713d132cc94cd37acbb8039833e94c4652,13083861,1629752225,0,36314745858444321,1403104636789616837,true,1650711337399549221,0,none
0x0cd02b6296da64c6df458773e6cb88925e0e900057429e57408e0f6132313e6a,13018826,1628884391,2,35668258005879583,0,true,1650461690888731070,1590000000000000000,none
0xc6c08621517b70e21a6df860155311b3627d3e4ddb090d2075c25a7d27a09b41,13995094,1642048851,43,93185989826955520,39331454268341545,true,208701615853712828,165000000000000000,none
0x62c0d490b1c7e536a51c2e8a548cb496b15569f2b07e586912c15cc7f65c22ae,13995148,1642049518,0,83663983255878936,29143290281288341,true,80381433645875935,48000000000000000,none
0x2d6e89aaffdddae5811aa20cd920ec9eac56f0376ce982605d8ec177ff663773,13254052,1632025956,0,41434204465170736,0,true,5586384178009587389,5480000000000000000,none
0x17dcecbf060d7b477a481bf14026a78839f355e1335ee75675fd1cd2adbc2aa8,13114696,1630164405,2,113029154500652746,0,true,3356441170450537492,3000000000000000000,none
0xa6556442dc0d980065e05fd48c3899bdd593fcb10ccfc8fa1820e4ee0fbe3c5d,14840370,1653460663,0,151375703522680711,0,true,12986984932745757104,11850000000000000000,none
0x8da492d7ed321891d883afeb34c6b871a2c12764798f25c4c7ca89d152565317,14840899,1653468163,4,10586286707107566,0,true,51184789209813816,40000000000000000,none
0x1253fb52dd8d8bb0c6a29afd0323c984f7790b0f58f6a2892832f5f1fc814c97,14663802,1651026019,6,58007246600000000,0,true,2569805740028200631,2500000000000000000,none
0x517779794b9c8d162210029fe176caced09b4bb3691eac43ac5a010e4133e679,14707389,1651618274,1,43776191940057025,60279145975495441,true,23301395729877477205,23000000000000000000,none
0xd009277f1bf00675f19d842f3bff8c949951a939ad6401665fa392403b4990e2,14901277,1654316782,5,15241485663253324,0,true,78329195225230627,60000000000000000,none
