transactionHash,blockNumber,timestamp,position,transactionFee,coinbase_transfer,reward
0x7dcad6c318d8f0d63bf6531c31a7f2552fa1ac0c0bb9ef17854b5fb9f38843d9,14840389,1653460843,4,5786155134878040,1193850000000000,13265000000000000
0x829249207af96b2460ccf142d8786e285c9e2e5e031926f9efac6cc5b4b693fb,14215128,1644986696,2,33828432033127236,0,860000000000000000
0xe5deedb69516db4995de93e4f0633c1d08a0257d89eb1b44228918203671231b,14485598,1648616761,1,17469865849553371,0,82625000000000000
0x9d0e2f2ef696c283a55ab85ecbe80eb9b3518a8abc5235a3b79dd9ed55c2d7f0,14663720,1651024823,5,14445767350363041,11338725542633100,30210000000000000
0x478f63155758ce2a238dd95ea716ce86b511045204980407aaeffaeafb7b4d03,14663978,1651028167,0,14544889052269416,317186847089833709,512500000000000000
0xc941c4de5d9db20c8900e21d401f68568e9f3b8b7e218a4e4bbc12e2b696aae4,14958769,1655164360,3,13182924806969994,47298867245402652,75770000000000000
0x0bf365986e1d92bb20735c8b5df81c9f02d649d46069c37016d2d3b76b5fd7a9,14604437,1650221209,0,12094054578383225,11999548685199600,31000000000000000
0xcaa15eec4bc446b6bfad5a572cad5e4cd333365d3bc7f4024870c4a9b44230fa,14598598,1650141628,0,44294912583428318,0,117247300000000000
0x7102ca1146573b05d4eda797b8cf50de7bf3925691b1000e52cadd8f724942c0,14266608,1645676695,9,108885680876764872,1866000000000000,490000000000000000
0xc83cb977dc7a84c060241d984e2d811886c9cc705de6f3212f3fb313429d7592,14493263,1648720521,1,25260615090212009,0,29800000000000000
0x96c91c3e0e2e99fa444202f0103649adea47fc208e565170f72c27a89fd2a320,14392094,1647359696,4,23099006955049154,0,190000000000000000
0xf3e7cf68a85824fafc67c8954d278681f17cc81152732227802301e6d11a345e,14508592,1648927450,7,16020072298743480,10471794464364000,114000000000000000
0xb74a501753a48bf1c7289b079cc7654a75c50cfc0e5b5bf122b7e577f8425416,14802350,1652926230,2,9199459783010505,25082757010356626,35600000000000000
0xb6a782cf1f572721c7254f29c637ef3856e3f744900798c36dc62463d5725464,14555587,1649561486,0,12372479215103200,122889054551050758,496296000000000000
0x9e7fe1e38c0d060f6fe547d4f860941cf4adfd6cf6e87522f9461372a406b473,14846347,1653544719,2,15362192186776407,0,19782000000000000
0x5aa57075b5e864c838f8ed6816ea15c6ee3840e983a58331a14dc67cb854ef76,14661370,1650993059,0,260060130250755138,0,653300000000000000
0x93a025f535e43c635ccd35bb18a45f7daaa34fd750dd64569218424991a81cc0,14696610,1651471208,1,20483699743017441,0,30964000000000000
0x667da11a0437141afe16ac3ec6a782dca078ee7788501382959eaa77a32ce17a,14541012,1649364560,0,25542199990819134,0,151000000000000000
0x951e218168402c9088e9bdb0f3341115eed0db019057df326bd81024c21f4c6a,14411692,1647623608,0,26627536046428176,0,35400000000000000
0x908ed24ff53c4373302fa4af6ae6fd76b05dd51e0ef34fc6e0b489d6770bd8b3,14791391,1652774959,0,11159346798274341,1415282054798240097,1796500000000000000
0xc362fd9b10a84b142dec04266441ea0bac1accc0fad716365d6fdb75aa7071a1,14982716,1655521520,0,11180806601066280,4095000000000000,19500000000000000
0x2e5d3b062af7d26f9806c89c51f7cecaff34ac09b642eb72b80d329504e2985f,14960729,1655194119,0,14194947233761722,122295664743186600,140000000000000000
0xabff17d8d7bee983f318de1bb3f62be925e85de9cf9a68dff040a8d8138eb382,14644200,1650759157,0,7015881687296216,95317616191539000,157500000000000000
0x894f90000c2f2620180919c1f246b66a626e327772b4d6485bf4330d661b9ea3,14273383,1645766464,0,20008935963375359,1865000000000000,491080000000000000
0x1727edc5dbe62c6043bace347b142c200dd2edd1a285f888b7b8ce926cc3835a,14765357,1652417510,82,23663752593493892,477669907770900243,720000000000000000
0x59f707333580b3ca4334cea784b30c14371e5848e11c118a616c5dc37245f195,14669249,1651100057,0,18775456653226783,408255653142646113,672000000000000000
0x1063d78d055e91e6042d4f94434e5f0d0b7aee7472004a0c11663eb763070fc6,14730728,1651939454,0,12341461549205061,23386165087966956,56000000000000000
0x14c7d39814af9c338e685b21e9aff41c668e976ee73280fd260fe2a442c413f1,14730935,1651942229,0,37406489472017891,1662385301564674834,2586000000000000000
0xb69cebfe356eb16b90a28cb11c6e34e237641d786954c424874e889456b3d202,14970076,1655334244,1,14095818298722792,460542165971500732,499000000000000000
0x17ba20b86ff711767913feaaada88988055648b5add13696228ff659102d4d79,14689028,1651368915,0,2757457122299910576,47047908297812100,2449300000000000000
0x4fc3f3ab4bb2e59d5cbcf61791a47deb8c9c02caed24c13c847674a4c859d555,14349318,1646784895,3,20459753535929292,0,35400000000000000
0x839c7cfa037ce36859c7b081a8645d69c4717df07f20ac6839465362a45c562e,14244988,1645387549,9,25316755557360589,1561000000000000,330930000000000000
0xf1aeaadd27c8e15b77f065b1f254afac2b185adee0ef06697076543161957b7a,14243129,1645363075,17,19971940617609309,0,290000000000000000
0xf97248e45c726e307a5d882165c808734558b2ee15ec812baaed9ad935d689ff,14569918,1649755653,0,14013189366288738,11819194565171536,64000000000000000
0xfce03a77a30c1df18e2ddf96e214c29f2396e8118ce22ff7bf5c882686571f62,14580195,1649894081,3,22145815491945738,331689264119402805,632070000000000000
0x1767eaa36dc4203d48c88b52b32b843e8dbb0fa1d7852a06eebf6c0680b9cb15,14838787,1653438859,0,10431063787947488,112025052666652500,125369910000000000
0xa731a6af1325118fb52ce8dec6fa2836c4b68c55e1db0c1c80b603ada2cfab96,14923952,1654650499,4,19370291984874187,125522303566600000,175000000000000000
0xcd9f1bc8878882fe6f68477164e46abffd8b2dec466215c46b81fc4c10eb3563,14656963,1650933085,2,20943093462996735,16583855795848670,52900000000000000
0x623cbca8c02460a0da7e75a584c124c33af11db8a0eb6b878c4d53bacc28f7ad,14935231,1654817123,4,48057112881812104,0,51770000000000000
0x020af0375a8b2f71a1201dfb6f2bf6ab94b8d4f45fa3f436a6b2734724baf998,14935623,1654822676,1,22673648892640844,58000000000000000,145000000000000000
0xa7ec162347941f59b21efa461c8ae467b0a2fc4dffb259c90f551a2670813dc5,14190133,1644654031,6,20072457936980405,6941626615472963,116600000000000000
0xae62d81b94db5a31cb011594f26958fc9d76cd0d1a4def5a5a8e6fdaef7555e7,14727590,1651895776,0,53108760025540728,0,357600000000000000
0xb9cb311783168a4f11c06a8e1b574123f46ee1e9e9cea4f2c2279581339fc4f9,14920693,1654603233,1,12795511966049791,60944400000000000,112860000000000000
0x7cf0af6b8ae476646b05ac3b8fc1f8e789b148c00440deb5cb65d63286b6737f,14911996,1654474623,98,13967870992051919,185599680000000000,386666000000000000
0x3f3ef5da2c3d45aa6a9ca20e4e9f8c4153c5b6edd624234dd4bb80f68ce412cd,14773998,1652536916,0,16018556075818659,110495944058410336,181500000000000000
0xfa68193f4868c021499d4ec2a8ad32a037e1029c48b3047ef3628e5d6ba1eee6,14773999,1652536922,1,15659059054915290,148885831284613248,237681126042000000
0x68b29ae6e5d52956ebfed975d27c56bd04499957d3c636d0e890a514c4f7bb31,14655456,1650912301,0,35099079948134256,778273658894509775,1258000000000000000
0x7cbae0f2180faea69caccf3694987d825a8155de1bd530bf84665bd6a666a2c6,14655457,1650912304,0,33145888933692150,814054884166350301,1045500000000000000
0x019932b829d121313d9a9ad2cf660f670b613dbaf44123ccd271648932badeb3,14655457,1650912304,1,31355400756038337,767035725545916420,1231500000000000000
0xde2e1a1002296d4751cc0d7ffc848d402a4332825303f22d8aad94db38ced7ff,14820908,1653187112,0,7151461146938204,63517900000000000,85835000000000000
0x8b892a766dc1a00851a5813a2990a8750b37c70ce436547af8b618390d0a5c78,14622627,1650467497,7,23227121880687106,19419534379862400,60300000000000000
0x6d6d5818c949e5ca3a284e825f7cb9bba048ee1f5dc56e6b55802268a9f1263f,14431308,1647887226,2,17321296174759920,0,40500000000000000
0xdc8c6a15416de1f98d9389fbf3c087c7ca72101f6b3b28e2a194aaeeb4fe4916,14431650,1647892142,0,24375811730603648,0,31955000000000000
0xee4d8b60013ee13dd98b3764165813a15a505dc0d185a0eadc6f2fe6584c7a88,14431687,1647892531,1,13922258467521418,0,31000000000000000
0x6c25d6904917815c061fd3a05e4ae24af63602bcde67457614032689a50028a9,14831829,1653340215,0,9015381865314010,7460592251701888,25000000000000000
0x21f9aa8f7e8b6e8bd899a23dbb36464a1c102e09b73a6a50cfddb75fd7325943,14711938,1651680908,0,30425334279773860,488839302887234838,810000000000000000
0x41012a9a3253848c040a5e3e977afceeeb0741ed57d01b9f8a849b589182868f,14322446,1646422698,2,26484226285384380,0,58880000000000000
0x969f3b8ace70648e6c8c0abaecabe2615c0a531bd438bff172d06cf92e77396a,14350546,1646801154,1,23044412867538184,0,63000000000000000
0x8f15a6ee397b9575c2376d14ac231ee9b2f3ba09b7fa8e09608c7456fae83045,14645366,1650774871,0,6691994638815672,19145023695474200,35616550000000000
0xb1e29095f8b43fd3299b4e54ca79eac73c42509624cd9a000eaad86ca5eb3fb5,14645554,1650777398,0,6563555346457473,194480031088791600,313200000000000000
0x1f364bd6de242261f2c9a35974502ce7cf1c57e5db322b98b1b2932c7e922cd7,14919034,1654578906,6,25065995266584429,0,29346000000000000
0x17491dbdb73d7aee22b83749e3d32decde3104aeae0a389a672c38f1e7e5bdea,14544355,1649410550,0,16338930332128800,643647732085926960,3280000000000000000
0x12c275e444b80ffce039caac773842b8d961458dce98400073ed3a008c6f9185,14858228,1653712713,0,7548874377812208,40740690000000000,60807000000000000
0x339326ecc2a64b50585404899be94742b611b5d0971dc08f841e42e3c141f543,14774004,1652537000,1,15918703429380306,78332700752973650,135000000000000000
0x41cbded4e7849574bacb7ae3f05620ea47ea8791596a0df3b21ccb59a8af5376,14360245,1646930751,1,21539577054062368,0,91540000000000000
0x84591f9c91a762cc071d895644220725994ed931769fbdd5a6ff82821abad64a,14360684,1646936683,1,20907284988874744,0,40400000000000000
0x8e638796f1ae34d283cd80001039098c2023d4b02d2ae80bdbe2f10f8e8b21b4,14572864,1649794376,4,19041834551294770,5000000000000000,31200000000000000
0x0819c8a640ac02f266f1a1f8a7dee88f0c8ccf44eb296af36daa643b84b704f8,14658114,1650947760,0,12194715860785092,0,18500000000000000
0xf7f5da21d2d7207af22d22494664e23e1cc04580b5d52491677ca5ad3432a3bd,14625163,1650500684,1,31650746331262950,0,47280000000000000
0xc00b2b103e6594a041cb0d3c15e2080ff165e19dcb147d27382d53fbe885c699,14984314,1655545619,7,8166883777002028,5000000000000000,14250000000000000
0x3a7e84b30c8882a3ed1431afb8fdd87d0aa40dfb37844e2dbea7fb537c9e4315,14623305,1650476609,0,686578785176682664,0,1072000000000000000
0x732704955bf075d4816dc4f2068020fb7bc971fb230233c61e6849a5553b8f52,14340386,1646665230,11,42563480843744055,0,2268130000000000000
0xfb682baec629740f6c3a7cfa066b9f9779cbd7aef1cbbdc7b1030c04851b7d1a,14340849,1646671165,6,40885286268655809,0,290930000000000000
0xd9f37b21514905363e3ee6c6cbbbedac967b4cd039a91baaf01cfada5847efe9,14647413,1650802872,0,8389944088077200,68797102042198400,116800000000000000
0x395525e80989c5703c5e38e67f39de2a4d9e4423b8fb6f903d85aaaed314696b,14367275,1647025528,0,11716542071137674,74701757893237117,790600000000000000
0x926c2063fc1c561f1a8694756de20bff89dad20e9a966eb1f28fb25e01a96b0a,14483111,1648583546,25,12943833670203970,8270412790690008,197093000000000000
0x0f767c24a3f99c36b64d79e679c675ebdcc07aa31d2f7c4401f7ff7cba5ccaad,14539445,1649343972,0,91758756667826200,119497026436240500,-642000000000000000
